id,HomeTeam,AwayTeam,Unnamed: 0,HTP,ATP,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W,HTGD,ATGD,DiffFormPts
42,Leicester,Southampton,42,0.737504564,-1.198092978,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0.590721095,-0.30963072,1
43,Liverpool,Man City,43,0.360251111,-0.051168629,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.302346376,-0.598278242,0.2
44,Man United,Sunderland,44,0.737504564,-0.815784862,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2.320969412,-0.598278242,0.8
45,Middlesbrough,Everton,45,-0.394255794,-0.815784862,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.302346376,-0.020983199,0.2
46,Newcastle,Chelsea,46,1.114758017,-0.433476746,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0.879095815,-0.020983199,0.8
47,Derby,Charlton,47,-1.148762699,-0.815784862,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-0.274403063,-0.30963072,-0.2
48,Tottenham,West Ham,48,0.360251111,-1.580401094,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.302346376,-0.886925763,1
49,Arsenal,Coventry,49,0.360251111,-0.051168629,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0.879095815,-0.598278242,0.2
50,Aston Villa,Bradford,50,0.23449996,-0.752066843,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.254283923,-1.223681204,0.5
51,Charlton,Tottenham,51,-0.708633672,0.840883642,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.22634061,0.460096003,-0.833333333
52,Everton,Man United,52,-0.079877916,1.159473738,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.254283923,2.624952413,-0.666666667
53,Leeds,Ipswich,53,-0.079877916,-1.070656938,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.254283923,-0.742602002,0.5
54,Southampton,Newcastle,54,-1.337389425,0.840883642,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.466652875,0.700635604,-1.166666667
